file_name,streetview_id,latitude,longitude,altitude,date,time,distance,heading,streetview,project
GSfile,39,31.6688886,34.5744139,30.572,6/13/2022,11:35:38:175,0.029212308,135,GS010598_042.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,40,31.6688888,34.5744137,30.501,6/13/2022,11:35:39:220,0.064961578,128.6598082,GS010598_043.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,41,31.6688892,34.5744132,30.375,6/13/2022,11:35:40:265,0.022245967,0,GS010598_044.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,42,31.668889,34.5744132,30.215,6/13/2022,11:35:41:200,0.052783548,143.1301021,GS010598_045.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,43,31.6688894,34.5744129,30.195,6/13/2022,11:35:42:190,0.076732333,146.3099326,GS010598_046.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,44,31.66889,34.5744125,30.17,6/13/2022,11:35:43:235,0.076732333,146.3099326,GS010598_047.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,45,31.6688906,34.5744121,30.061,6/13/2022,11:35:44:170,0.057913394,120.9637562,GS010598_048.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,46,31.6688909,34.5744116,30.037,6/13/2022,11:35:45:270,0.050471679,126.8698978,GS010598_049.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,47,31.6688912,34.5744112,30.121,6/13/2022,11:35:46:205,0.06587693,116.5650512,GS010598_050.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,48,31.6688915,34.5744106,30.194,6/13/2022,11:35:47:195,0.08651213,125.5376777,GS010598_051.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,49,31.668892,34.5744099,30.386,6/13/2022,11:35:48:185,0.075733838,90,GS010598_052.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,50,31.668892,34.5744091,30.53,6/13/2022,11:35:49:230,0.076546293,97.12501647,GS010598_053.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,51,31.6688921,34.5744083,30.665,6/13/2022,11:35:50:165,0.037866919,90,GS010598_054.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,52,31.6688921,34.5744079,30.64,6/13/2022,11:35:51:155,0.043917952,116.5650512,GS010598_055.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,53,31.6688923,34.5744075,30.656,6/13/2022,11:35:52:200,0.00946673,90,GS010598_056.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,54,31.6688923,34.5744074,30.678,6/13/2022,11:35:53:190,0.134811962,350.5376777,GS010598_057.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,55,31.6688911,34.5744076,31.058,6/13/2022,11:35:54:235,0.107029365,336.0375112,GS010598_058.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,56,31.6688902,34.574408,31.261,6/13/2022,11:35:55:170,0.152503405,288.4349487,GS010598_059.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,57,31.6688897,34.5744095,31.387,6/13/2022,11:35:56:270,0.115826789,300.9637566,GS010598_060.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,58,31.6688891,34.5744105,31.427,6/13/2022,11:35:57:150,0.072151337,303.6900676,GS010598_061.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,59,31.6688887,34.5744111,31.386,6/13/2022,11:35:58:195,0.029212309,225.0000005,GS010598_062.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,60,31.6688889,34.5744113,31.482,6/13/2022,11:35:59:185,0.044491933,0,GS010598_063.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,61,31.6688885,34.5744113,31.576,6/13/2022,11:36:00:230,0.055614917,0,GS010598_064.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,62,31.668888,34.5744113,31.625,6/13/2022,11:36:01:165,0.038366167,33.69006784,GS010598_065.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,63,31.6688877,34.5744111,31.689,6/13/2022,11:36:02:265,0.067405981,350.5376777,GS010598_066.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,64,31.6688871,34.5744112,31.866,6/13/2022,11:36:03:255,0.086512133,305.5376777,GS010598_067.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,65,31.6688866,34.5744119,32.113,6/13/2022,11:36:04:245,0.692549708,69.53772847,GS010598_068.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,66,31.6688841,34.5744052,32.292,6/13/2022,11:36:05:235,2.730372014,74.9389839,GS010598_069.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,67,31.6688767,34.5743777,32.537,6/13/2022,11:36:06:225,4.669049996,76.24852447,GS010598_070.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,68,31.6688651,34.5743303,32.786,6/13/2022,11:36:07:270,6.487726999,76.88516032,GS010598_071.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,69,31.6688497,34.5742642,33.118,6/13/2022,11:36:08:205,7.877850498,76.52050012,GS010598_072.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,70,31.6688305,34.5741841,33.461,6/13/2022,11:36:09:195,10.39197862,76.92243177,GS010598_073.jpg,2022_RVGP_Israil_Data_Ph2
